OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
3094,S0322,SPVP048 Redlands,0,Southern California Edison (SCE),San Bernardino,5,1,SUN,8/12/2014 0:00,0,-117.2280791,34.08265541
3095,S0361,Patton State Hospital II ,0,Not Available,San Bernardino,0.99,1,SUN,7/3/2012 0:00,0,-117.2145889,34.14243415
3096,S0370,Kohl's - San Bernardino - Mill,0,EDP Renewables North America LLC,San Bernardino,1,1,SUN,11/28/2007 0:00,0,-117.2667703,34.09487818
3097,S0377,Kohl's - San Bernardino - Central,0,Silicon Ranch Corporation,San Bernardino,1,1,SUN,8/24/2012 0:00,0,-117.2670199,34.085361
3098,S0451,SunE - San Bernardino,0,Not Available,San Bernardino,1.9,Unit 1,SUN,10/16/2015 0:00,0,-117.2476838,34.10037579
3099,S0452,SunE - Redlands,0,Not Available,San Bernardino,1.83,Unit 1,SUN,10/16/2015 0:00,0,-117.2294819,34.07620147
3100,S9153,Loma Linda VA Health Care System,0,Not Available,San Bernardino,2.83,"1, 2",SUN,1/1/2012 0:00,0,-117.2501881,34.05014601
3107,H0331,Mill Creek 1,0,Southern California Edison (SCE),San Bernardino,0.8,1,WAT,1/17/1935 0:00,0,-117.0773069,34.07398098
3108,H0332,Mill Creek 2,0,Southern California Edison (SCE),San Bernardino,0.25,1,WAT,8/1/1904 0:00,0,-117.0684319,34.07725743
3109,H0333,Mill Creek 3,0,Southern California Edison (SCE),San Bernardino,3,"3, 4, 5",WAT,3/1/1903 0:00,0,-117.0394332,34.08798475
3110,H0462,Santa Ana 3,0,Southern California Edison (SCE),San Bernardino,3.1,1,WAT,4/1/1947 0:00,0,-117.0990674,34.10759176
3113,S0169,Coronus Yucca Valley East 1,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2013 0:00,0,-116.3702465,34.12355597
3114,S0170,Coronus Yucca Valley East 2,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2013 0:00,0,-116.3704338,34.12354922
3115,S0171,Coronus Yucca Valley East 3,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2014 0:00,0,-116.3702216,34.12297167
3116,S0172,Coronus Joshua Tree East 1,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2013 0:00,0,-116.2244967,34.13413924
3117,S0173,Coronus Joshua Tree East 2,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2013 0:00,0,-116.2243586,34.13413631
3118,S0174,Coronus Joshua Tree East 3,0,Coronus,San Bernardino,1.5,Unit 1,SUN,7/15/2013 0:00,0,-116.2242204,34.13414043
3121,S0368,Procter & Gamble - Oxnard,0,EDP Renewables North America LLC,Ventura,1,1,SUN,9/25/2009 0:00,0,-119.1344039,34.20970554
3122,S0450,SunE - Oxnard,0,Not Available,Ventura,2.7,Unit 1,SUN,10/16/2015 0:00,0,-119.1641205,34.19255721
3128,H0076,Springville Reservoir,0,Calleguas Municipal Water District,Ventura,1,1,WAT,1/1/1994 0:00,0,-119.0691133,34.21301465
3132,H0078,East Portal Generator,0,Calleguas Municipal Water District,Los Angeles,1.25,4022,WAT,1/1/1984 0:00,0,-118.6240355,34.26203295
3133,S0181,Pierce College LACCD,0,Los Angeles Community College District,Los Angeles,2.1,3_SIPs,SUN,10/19/2010 0:00,0,-118.5746834,34.18376131
3134,S0219,LAPC Carport Shade Structures (Los Angeles Pierce College),0,Los Angeles Community College District,Los Angeles,2.09,"1, 2",SUN,8/19/2010 0:00,0,-118.5823393,34.18555186
3135,S9158,Los Angeles Community College District,0,Not Available,Los Angeles,2.28,1,SUN,1/1/2013 0:00,0,-118.5800707,34.18327753
